Number	Surname, Initials	Week	Job	hTotal	hNormal
357517	GqQzauda, M.K.	201549	1	34.210000	24.160000
357517	GqQzauda, M.K.	201550	1	43.520000	41.520000
357517	GqQzauda, M.K.	201551	1	32.620000	21.220000
357517	GqQzauda, M.K.	201552	1	36.190000	29.320000
357517	GqQzauda, M.K.	201553	1	26.970000	20.070000
511271	QFHxohXo, K.S.	201549	1	6.150000	4.080000
943001	tFwFYZci, K.M.	201549	1	45.430000	45.430000
943001	tFwFYZci, K.M.	201550	1	35.880000	20.540000
943001	tFwFYZci, K.M.	201551	1	45.810000	41.810000
943001	tFwFYZci, K.M.	201552	1	32.070000	18.630000
943001	tFwFYZci, K.M.	201553	1	28.150000	27.150000
616949	XUpscqsm, L.M.	201549	1	17.860000	12.120000
616949	XUpscqsm, L.M.	201550	1	43.800000	41.800000
616949	XUpscqsm, L.M.	201551	1	30.380000	20.100000
616949	XUpscqsm, L.M.	201552	1	36.380000	29.660000
616949	XUpscqsm, L.M.	201553	1	26.360000	19.210000
509356	PYymAKgQ, M.D.	201549	2	38.920000	22.570000
509356	PYymAKgQ, M.D.	201550	2	44.740000	42.740000
509356	PYymAKgQ, M.D.	201551	2	33.370000	21.720000
509356	PYymAKgQ, M.D.	201552	2	32.890000	30.890000
509356	PYymAKgQ, M.D.	201553	2	27.270000	20.310000
021796	MiKDlcab, T.M.	201549	2	36.230000	22.630000
021796	MiKDlcab, T.M.	201550	2	45.250000	43.250000
021796	MiKDlcab, T.M.	201551	2	32.360000	20.750000
021796	MiKDlcab, T.M.	201552	2	32.400000	30.400000
021796	MiKDlcab, T.M.	201553	2	27.640000	19.850000
209563	RzKpHpsN, P.K.	201549	1	35.860000	22.310000
209563	RzKpHpsN, P.K.	201550	1	44.150000	42.150000
209563	RzKpHpsN, P.K.	201551	1	32.010000	21.800000
209563	RzKpHpsN, P.K.	201552	1	36.740000	30.190000
209563	RzKpHpsN, P.K.	201553	1	29.720000	23.170000
051378	GnhnUgFv, K	201550	1	41.700000	41.700000
051378	GnhnUgFv, K	201551	1	37.980000	37.980000
051378	GnhnUgFv, K	201552	1	31.870000	31.870000
051378	GnhnUgFv, K	201553	1	28.890000	28.890000
291378	RTOfzCZP, B.K.	201549	1	29.900000	29.900000
291378	RTOfzCZP, B.K.	201550	1	31.410000	21.240000
291378	RTOfzCZP, B.K.	201551	1	25.160000	22.160000
250577	LNAmJQBu, L.L.	201549	1	52.320000	28.060000
250577	LNAmJQBu, L.L.	201550	1	52.230000	5.000000
250577	LNAmJQBu, L.L.	201551	1	42.680000	0.000000
041764	qGGlwAyv, M.	201549	1	42.120000	42.120000
041764	qGGlwAyv, M.	201550	1	37.520000	23.900000
041764	qGGlwAyv, M.	201551	1	38.890000	34.890000
935465	kPBhyfxm, K.P.	201549	1	42.540000	42.540000
